Task,Delegation,Done,Due Date,Owner,Recurring?,Related to Projects Database
[ECL] Essential,,Yes,06/01/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
統一稼動率接收格式,,Yes,06/03/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 確認整體排版&顯示問題,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Conflunt 公司會議,,Yes,06/11/2025 14:00 (GMT+8) → 15:30,Keith LI,No,
Bugfix EquipmentPage 資料無法點選,,Yes,05/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
SSO Fixbug,,Yes,05/28/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
更改採購單寬度大小適應 10 筆資料一頁面,,Yes,05/27/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
多語言翻譯 - 資產驗收單,,Yes,06/02/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
規劃報價單查詢功能,,Yes,06/02/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
規劃 Azure AI 學習的課程要多久,,Yes,05/28/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
將表單都新增上 Try Catch,,Yes,05/29/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[Weekly] GBOS 稼動率過高問題,,No,11/06/2025,Keith LI,Yes,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[Weekly] CSW6 IoT稼動率追蹤,,Yes,08/22/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"[Weekly] 更近 IDM2 EMMA 切割機無法顯示資產編號狀況 ",,Yes,07/14/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"https://www.notion.so/1215-0-1-YouTube-Chill-ba38fad105fe456b9a48c2821334bcfb?pvs=21 ",,Yes,05/29/2025,Keith LI,No,
確認湖南各廠區網路連接進度,,Yes,05/29/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
IDM2 EMMA 機台傳輸資產編碼問題,,Yes,05/30/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
Fix 採購單表頭、日期、採購頁面多語言顯示錯誤,,Yes,05/29/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[BUG] WarehousePage Dialog 選取消也會跑出儲存成功,,Yes,05/29/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"新增 Asset HistoryView & OpexView 的查詢匯出頁面  ",,Yes,06/02/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
將 AssetExport 頁面的搜尋欄位補齊,,Yes,06/20/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[Weekly] 湖南廠區 IoT 稼動率,,Yes,10/13/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
[Weekly] CYW IoT 稼動率追蹤,,Yes,08/22/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
設定廖顧問電腦遠端桌面連線,,Yes,06/02/2025,Keith LI,No,
"https://learn.microsoft.com/zh-tw/training/paths/get-started-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1 ",,Yes,06/01/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/get-started-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,06/02/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/get-started-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 3,,Yes,06/03/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/get-started-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 4,,Yes,06/04/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/modules/investigate-container-for-use-with-ai-services/ Partial 5,,Yes,06/05/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 4,,Yes,07/30/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 3,,Yes,07/30/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,07/29/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/create-computer-vision-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1,,Yes,07/28/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 7,,Yes,07/20/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 5,,Yes,07/03/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 4,,Yes,07/01/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 3,,Yes,06/30/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,06/29/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-language-solutions-azure-ai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1,,Yes,06/29/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 6,,Yes,06/27/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 5,,Yes,06/26/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 4,,Yes,06/25/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 3,,Yes,06/24/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,06/23/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/implement-knowledge-mining-azure-cognitive-search/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1,,Yes,06/16/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/extract-data-from-forms-document-intelligence/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,06/14/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/extract-data-from-forms-document-intelligence/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1,,Yes,06/13/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-ai-solutions-azure-openai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 1,,Yes,06/08/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/training/paths/develop-ai-solutions-azure-openai/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2 Partial 2,,Yes,06/09/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
https://learn.microsoft.com/zh-tw/credentials/certifications/azure-ai-engineer/?ns-enrollment-type=Collection&ns-enrollment-id=g7dnbr1m5gw5r2&practice-assessment-type=certification,,Yes,08/30/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
週會時跟有星告知EMMA要改資產編號,,Yes,06/02/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"實作 HASO 裝到小米盒子 ",,Yes,06/01/2025 8:00 (GMT+8),Keith LI,No,
確認資產 Snapshot 成功，或者手動先做一個 Snapshot,,Yes,05/31/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
調整 Snapshot 到每個月初 1 號 Catch,,Yes,06/03/2025,Keith LI,No,
"[Chiao] 實作 HASO 裝到小米盒子 ",,Yes,08/01/2025 8:00 (GMT+8),Keith LI,No,
[ECL] Essential,,Yes,06/05/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,06/03/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,06/04/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Life Situation,,Yes,06/06/2025 19:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
[ECL] Essential,,Yes,06/08/2025 20:00 (GMT+8),Keith LI,No,OEE Education (https://www.notion.so/OEE-Education-1ff406f9700780babc6afc2bf9e5786d?pvs=21)
核對稼動率判別方法,,Yes,06/04/2025,Keith LI,No,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)"
"資產說明會 IDM2 ",,Yes,06/02/2025,Keith LI,No,
上傳 Monthly meeting video & audio,,Yes,06/02/2025,Keith LI,No,
閒置報表 - 製作 BI 每月的閒置報表,,Yes,06/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[Weekly] IDM2 IoT 稼動率追蹤,,Yes,10/01/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
使用者角度去做藍圖規畫,,Yes,06/03/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
調整設備/零件申請單 “申請原因”,,Yes,06/03/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Release AsstHistoryPage & OpexPage / 發信通知新增兩項功能,,Yes,06/03/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
報價單查詢功能 - 將購買過的申請單項目列舉在單一頁面的 Table,,Yes,06/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
"報價單查詢功能 - In the last column, create a “Quotation” download button.",,Yes,06/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
https://lu.ma/jcnpmpdi?pk=g-IVK9SrbESprU3an Taipei 活動,,Yes,06/21/2025 14:30 (GMT+8),Keith LI,No,
[Monthly] Check mine assets,,No,12/01/2025,Keith LI,Yes,
看 Riff 區塊鏈相關文檔,,Yes,06/05/2025,Keith LI,No,
[BUG] 採購單 No. 顯示問題,,Yes,06/03/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
規劃調撥通知功能 - 開發步驟,,No,11/10/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
將資產類別欄位的選擇固定到第三層才能選擇,,Yes,06/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
統一稼動率格式 - GBOS,,Yes,06/12/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"製作 BI 報表 (惠真姐月發報表) ",,Yes,06/18/2025,Keith LI,No,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)"
"統一稼動率格式 - 製作統一格式的 Table ",,Yes,06/09/2025,Keith LI,No,"[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21), [DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)"
統一稼動率格式 - 祥益,,Yes,06/12/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
藍圖規畫 (FAS) - 調整內容 (2Hr),,Yes,06/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
Release the PO company title select feature,,Yes,06/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
發信通知 FAS 更新的 Feature,,Yes,06/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
資產營運支出頁面新增 AssetCode 到頁面 Table,,Yes,06/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
處理廖小珍EMAL,,Yes,06/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
[Monthly] Check Idle Assets Snapshot,,No,12/03/2025,Keith LI,Yes,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
閒置報表 - 製作 Monthly Idle Asset View,,Yes,06/04/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
修改 PO Form Table 長度,,Yes,06/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
新增月會影片上傳影片功能 - 開發步驟,,No,11/10/2025,Keith LI,No,
[BUG] PO Form 顯示問題,,Yes,06/05/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
問 IDM2 電腦車運行情況,,Yes,06/05/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
CEY EMMA IoT,,Yes,06/06/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
追 CEY 租賃電腦車新增,,Yes,06/05/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
https://www.youtube.com/watch?v=aPzEnjl9rPE,,Yes,06/05/2025,Keith LI,No,
詢問 IDM2 張勇 電腦車運行情況,,Yes,06/06/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
在調撥單匯出頁面新增複合式條件搜尋 Area & 完整調撥表格式,,Yes,06/09/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
處理 CEY 光博士機台資料接收,,Yes,06/17/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
藍圖規畫 (FAS) 畫圖,,Yes,06/06/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
https://learn.microsoft.com/zh-tw/training/modules/responsible-content-safety/ Partial 6,,Yes,06/05/2025,Keith LI,No,Azure AI Engineer Beginning Course  (https://www.notion.so/Azure-AI-Engineer-Beginning-Course-201406f970078026b5c2df2384acd3b5?pvs=21)
CEY EMMA 到工廠設置設備,,Yes,06/06/2025,Keith LI,No,[DMS] IoT 稼動率接收 (https://www.notion.so/DMS-IoT-1ff406f970078042a01ae34082a40dcc?pvs=21)
"改 Asset Form 的 Name 顯示 ",,Yes,06/20/2025,Keith LI,No,[DMS] Fixed Assets Management System (https://www.notion.so/DMS-Fixed-Assets-Management-System-1ff406f9700780459d0deada6ab43161?pvs=21)
